interpolatedPhoneTimestamp,respeckTimestamp,sequenceNumber,x,y,z,breathingSignal,breathingRate,activityLevel,activityType
1539436344167,17378751290,28,-0.021972656,-0.99316406,-0.047851562,NaN,NaN,0.739134,1
1539436344247,17378751290,29,-0.051757812,-0.96240234,-0.027832031,NaN,NaN,0.739134,1
1539436344327,17378751290,30,-0.040771484,-0.9897461,0.015380859,NaN,NaN,0.739134,1
1539436344407,17378751290,31,-0.091308594,-0.9782715,0.0012207031,NaN,NaN,0.739134,1
1539436344487,17378753719,0,-0.09033203,-0.9765625,-0.0061035156,NaN,NaN,0.739134,1
1539436344567,17378753719,1,-0.1081543,-0.9863281,-0.026123047,NaN,NaN,0.739134,1
1539436344647,17378753719,2,-0.12963867,-0.9707031,-0.037109375,NaN,NaN,0.739134,1
1539436344727,17378753719,3,-0.10546875,-0.98535156,-0.06713867,NaN,NaN,0.739134,1
1539436344807,17378753719,4,-0.12768555,-0.98461914,-0.05834961,NaN,NaN,0.739134,1
1539436344887,17378753719,5,-0.07788086,-0.967041,-0.09814453,NaN,NaN,0.6336609,1
1539436344967,17378753719,6,-0.11621094,-0.967041,-0.08959961,NaN,NaN,0.6336609,1
1539436345047,17378753719,7,-0.13110352,-0.9770508,-0.11206055,NaN,NaN,0.6336609,0
1539436345127,17378753719,8,-0.14233398,-0.9758301,-0.1105957,NaN,NaN,0.6336609,0
1539436345207,17378753719,9,-0.1352539,-0.97265625,-0.10571289,NaN,NaN,0.6336609,0
1539436345287,17378753719,10,-0.14282227,-0.9641113,-0.119140625,NaN,NaN,0.6336609,0
1539436345367,17378753719,11,-0.1262207,-0.9658203,-0.12646484,NaN,NaN,0.6336609,0
1539436345447,17378753719,12,-0.14111328,-0.95947266,-0.11376953,NaN,NaN,0.42212853,0
1539436345527,17378753719,13,-0.064941406,-0.9951172,-0.08300781,NaN,NaN,0.42212853,0
1539436345607,17378753719,14,-0.020507812,-1.0197754,-0.05126953,NaN,NaN,0.42212853,0
